usda_id,symbol,scientific_name,common_name,family,drought_tolerance,moisture_use,shade_tolerance,salinity_tolerance,anaerobic_tolerance,fire_tolerance,ph_minimum,ph_maximum,precipitation_minimum,precipitation_maximum,temperature_minimum_degf,frost_free_days_minimum,toxicity,active_growth_period,adapted_to_coarse_textured_soils,adapted_to_fine_textured_soils,adapted_to_medium_textured_soils,after_harvest_regrowth_rate,berry_nut_seed_product,bloat,bloom_period,c:n_ratio,caco3_tolerance,christmas_tree_product,cold_stratification_required,commercial_availability,coppice_potential,fall_conspicuous,fertility_requirement,fire_resistant,flower_color,flower_conspicuous,fodder_product,foliage_color,foliage_porosity_summer,foliage_porosity_winter,foliage_texture,fruit_seed_abundance,fruit_seed_color,fruit_seed_conspicuous,fruit_seed_period_begin,fruit_seed_period_end,fruit_seed_persistence,fuelwood_product,growth_form,growth_rate,hedge_tolerance,height_at_20_years_maximum_feet,height_mature_feet,known_allelopath,leaf_retention,lifespan,low_growing_grass,lumber_product,naval_store_product,nitrogen_fixation,nursery_stock_product,palatable_browse_animal,palatable_graze_animal,palatable_human,planting_density_per_acre_maximum,planting_density_per_acre_minimum,post_product,propagated_by_bare_root,propagated_by_bulb,propagated_by_container,propagated_by_corm,propagated_by_cuttings,propagated_by_seed,propagated_by_sod,propagated_by_sprigs,propagated_by_tubers,protein_potential,pulpwood_product,resprout_ability,root_depth_minimum_inches,seed_per_pound,seed_spread_rate,seedling_vigor,shape_and_orientation,small_grain,vegetative_spread_rate,veneer_product
16271,ACCA4,Acorus calamus,calamus,Acoraceae,None,High,High,Low,High,High,5.2,7.2,32,60,-38,90,None,Spring and Summer,Yes,No,Yes,Moderate,No,None,Late Spring,High,Medium,No,No,Routinely Available,No,No,Medium,No,Yellow,No,No,Green,Dense,Porous,Coarse,Low,Brown,No,Summer,Summer,No,,Rhizomatous,Moderate,None,,5.0,No,No,Moderate,No,No,No,None,Yes,Low,Low,No,4850,2700,No,Yes,No,Yes,No,No,No,No,Yes,No,Low,No,No,12,498454,None,Low,Semi-Erect,No,Moderate,No
92756,ACCI,Acer circinatum,vine maple,Aceraceae,Low,Medium,Low,None,None,Medium,5.5,7.5,24,80,-13,200,None,Spring and Summer,Yes,Yes,Yes,,No,None,Spring,High,None,No,Yes,No Known Source,No,Yes,Medium,No,Green,Yes,No,Green,Moderate,Porous,Medium,Medium,Brown,No,Summer,Fall,No,High,Single Stem,Moderate,None,15,20.0,No,No,Long,No,No,Yes,None,No,Medium,,No,1100,700,No,Yes,No,Yes,No,No,Yes,No,No,No,,No,Yes,24,4620,Slow,Medium,Erect,No,None,No
72438,ACCO4,Aconitum columbianum,Columbian monkshood,Ranunculaceae,Low,High,Medium,None,Medium,Medium,5.4,7.2,12,50,-28,110,Moderate,Spring and Summer,Yes,Yes,Yes,Slow,No,None,Early Summer,Medium,Medium,No,No,Routinely Available,No,No,Medium,No,Blue,Yes,No,Green,Moderate,Porous,Medium,Medium,Black,No,Summer,Summer,No,,Single Crown,Moderate,None,,5.0,No,No,Moderate,No,No,No,None,Yes,Low,Low,No,1200,700,No,No,No,Yes,No,No,Yes,No,No,No,Low,No,No,10,,Moderate,Medium,Erect,No,None,No
16268,ACAM,Acorus americanus,sweetflag,Acoraceae,None,High,High,None,High,None,5.6,7.2,16,65,-38,120,None,Spring and Summer,No,Yes,Yes,Slow,No,None,Late Spring,,Low,No,No,Routinely Available,No,No,Medium,Yes,Yellow,No,No,Green,Dense,Moderate,Medium,Medium,Green,No,Summer,Fall,No,,Rhizomatous,Moderate,None,,3.9,No,No,Moderate,No,No,No,None,No,,Low,No,4800,3450,No,No,No,No,No,No,No,No,Yes,No,,No,No,10,,Slow,High,Erect,No,Moderate,No
76633,ACCY2,Acacia cyclops,coastal wattle,Fabaceae,High,Medium,High,Medium,None,Medium,6.0,8.3,16,40,14,180,None,Spring and Summer,Yes,Yes,Yes,,No,None,Mid Spring,High,Low,No,No,Field Collections Only,Yes,No,Low,No,Yellow,Yes,No,Dark Green,Dense,Dense,Fine,High,Black,Yes,Summer,Fall,Yes,,Multiple Stem,Rapid,High,12,12.0,No,Yes,Short,No,No,No,Medium,Yes,Low,,No,1200,700,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Low,No,Yes,18,35000,Slow,Medium,Semi-Erect,No,None,No
92778,ACGLD4,Acer glabrum var. douglasii,Douglas maple,Aceraceae,Low,Medium,Low,None,None,Low,5.5,7.5,16,50,-13,120,None,Spring and Summer,Yes,No,Yes,,No,None,Late Spring,High,Low,No,Yes,Contracting Only,No,Yes,Medium,No,Green,No,No,Green,Moderate,Porous,Coarse,Medium,Brown,No,Summer,Fall,No,Low,Single Stem,Moderate,None,20,30.0,No,No,Moderate,No,No,No,None,Yes,Medium,Medium,No,2700,700,No,Yes,No,Yes,No,No,Yes,No,No,No,Low,No,Yes,24,16000,Slow,Medium,Erect,No,None,No
92774,ACGL,Acer glabrum,Rocky Mountain maple,Aceraceae,Medium,Low,Medium,None,Low,High,5.8,7.5,9,60,-43,180,None,Spring and Summer,Yes,No,Yes,,No,None,Late Spring,High,Medium,No,Yes,Routinely Available,No,Yes,Medium,No,Green,No,No,Green,Dense,Porous,Coarse,High,Brown,No,Summer,Fall,No,Medium,Multiple Stem,Rapid,Medium,15,30.0,No,No,Moderate,No,No,No,None,Yes,Medium,Low,No,1200,300,No,Yes,No,Yes,No,Yes,Yes,No,No,No,,No,Yes,24,13663,Slow,Low,Erect,No,Moderate,No
92772,ACGI,Acer ginnala,Amur maple,Aceraceae,Low,Medium,Medium,Medium,None,High,6.1,7.5,30,60,-38,130,None,Spring and Summer,Yes,No,Yes,,No,None,Mid Spring,High,Medium,No,Yes,Routinely Available,No,Yes,Medium,No,White,No,No,Green,Dense,Moderate,Medium,High,Brown,Yes,Summer,Fall,No,Medium,Multiple Stem,Rapid,Medium,15,20.0,No,No,Moderate,No,No,No,None,Yes,Low,Low,No,700,170,No,Yes,No,Yes,No,No,Yes,No,No,No,,No,Yes,24,15200,Slow,Low,Rounded,No,None,No
92759,ACFL,Acer floridanum,southern sugar maple,Aceraceae,Low,Medium,Low,None,None,None,5.0,6.5,40,65,-18,200,None,Spring and Summer,Yes,No,Yes,,No,None,Mid Spring,High,Medium,No,No,No Known Source,No,Yes,Medium,No,Yellow,No,No,Green,Dense,Porous,Medium,High,Red,Yes,Spring,Summer,No,,Single Stem,Moderate,None,30,50.0,No,No,Moderate,No,Yes,No,None,Yes,Low,,Yes,700,300,No,Yes,No,Yes,No,Yes,Yes,No,No,No,,Yes,No,24,7000,Slow,Medium,Erect,No,None,Yes
92794,ACGR3,Acer grandidentatum,bigtooth maple,Aceraceae,Low,Medium,Medium,None,Low,Medium,6.0,8.0,16,30,-31,100,None,Spring and Summer,Yes,Yes,Yes,,No,None,Spring,High,None,No,Yes,Routinely Available,No,No,Medium,No,Yellow,Yes,No,Green,Moderate,Porous,Medium,Medium,Brown,No,Summer,Summer,No,High,Single Stem,Moderate,None,20,38.0,No,No,Short,No,No,No,None,No,Low,,No,1100,700,Yes,Yes,No,Yes,No,No,Yes,No,No,No,,No,Yes,24,6350,Slow,Low,Erect,No,None,No
76675,ACKO2,Acacia koaia,koaoha,Fabaceae,Low,,High,None,None,Low,4.0,7.4,33,200,25,365,Slight,Year Round,Yes,No,Yes,,Yes,None,Early Spring,Low,Medium,No,No,,No,No,Medium,No,Yellow,Yes,No,Green,Dense,Dense,Fine,,Yellow,Yes,Year Round,Year Round,Yes,Low,,Rapid,Low,60,40.0,No,Yes,Long,No,Yes,No,High,No,Low,Low,Yes,640,320,No,No,No,No,No,No,Yes,No,No,No,,No,No,36,40824,,Low,Rounded,No,,No
76670,ACKO,Acacia koa,koa,Fabaceae,Medium,Medium,High,None,None,Medium,5.0,7.0,50,200,31,365,None,Year Round,Yes,Yes,Yes,,No,None,Spring,Low,Medium,No,No,Routinely Available,No,No,Medium,No,Yellow,No,No,Green,Moderate,Moderate,Medium,Medium,Brown,No,Spring,Summer,Yes,,Single Stem,Moderate,Medium,100,110.0,No,Yes,Long,No,Yes,Yes,High,Yes,High,,No,700,300,No,Yes,No,Yes,No,Yes,Yes,No,No,No,,No,Yes,30,4900,Moderate,Medium,Erect,No,None,Yes
19954,ACLE9,Achnatherum lettermanii,Letterman's needlegrass,Poaceae,High,Low,High,None,None,High,6.0,7.6,6,20,-28,90,None,"Spring, Summer, Fall",Yes,No,Yes,Slow,No,None,Summer,Medium,Medium,No,No,Contracting Only,No,No,Low,No,Yellow,No,Yes,Green,Moderate,Porous,Medium,Low,Brown,No,Summer,Fall,No,,Bunch,Slow,None,,2.0,No,No,Moderate,Yes,No,No,None,No,High,High,No,,,No,No,No,No,No,No,Yes,No,No,No,Low,No,No,12,225000,Moderate,High,Semi-Erect,No,None,No
19939,ACHY,Achnatherum hymenoides,Indian ricegrass,Poaceae,High,Low,High,Low,None,High,6.6,8.6,8,16,-43,90,None,"Spring, Summer, Fall",Yes,No,Yes,Moderate,No,None,Late Spring,Medium,High,No,Yes,Routinely Available,No,No,Low,No,Yellow,No,Yes,Green,Moderate,Porous,Medium,Medium,Brown,No,Spring,Summer,Yes,,Bunch,Moderate,None,,2.0,No,No,Short,No,No,No,None,No,High,High,No,,,No,No,No,No,No,No,Yes,No,No,No,Medium,No,No,18,161920,Rapid,High,Erect,No,None,No
19946,ACLEL,Achnatherum lemmonii var. lemmonii,Lemmon's needlegrass,Poaceae,High,Low,High,None,None,High,6.0,7.5,10,20,-28,90,None,"Spring, Summer, Fall",Yes,No,Yes,Slow,No,None,Summer,Medium,Medium,No,No,No Known Source,No,No,Low,No,Yellow,No,Yes,Green,Moderate,Porous,Medium,Low,Brown,No,Summer,Fall,No,,Bunch,Slow,None,,3.0,No,No,Moderate,Yes,No,No,None,No,Medium,Medium,No,,,No,No,No,No,No,No,Yes,No,No,No,Low,No,No,12,239000,Moderate,Medium,Semi-Erect,No,None,No
92813,ACMA3,Acer macrophyllum,bigleaf maple,Aceraceae,Low,Medium,Medium,None,Medium,High,4.8,7.2,22,260,-14,140,None,Spring and Summer,Yes,Yes,Yes,,No,None,Mid Spring,High,Low,No,Yes,Contracting Only,Yes,Yes,Medium,No,Yellow,No,No,Green,Dense,Porous,Medium,High,Brown,No,Summer,Fall,Yes,Medium,Single Stem,Rapid,None,30,60.0,No,No,Moderate,No,Yes,No,None,Yes,High,Low,Yes,700,300,No,Yes,No,Yes,No,Yes,Yes,No,No,No,,No,Yes,24,3120,Moderate,High,Erect,No,None,Yes
76690,ACME,Acacia melanoxylon,blackwood,Fabaceae,High,Medium,High,Low,None,Medium,6.0,8.3,16,40,14,180,None,Spring and Summer,Yes,Yes,Yes,,No,None,Early Spring,High,Low,No,No,No Known Source,Yes,No,Low,No,White,Yes,No,Dark Green,Moderate,Moderate,Fine,High,Brown,Yes,Summer,Fall,Yes,,Multiple Stem,Rapid,Medium,40,40.0,No,Yes,Short,No,No,No,Medium,Yes,Low,,No,1200,300,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Low,No,Yes,28,31200,Slow,Medium,Erect,No,Moderate,No
76682,ACLO,Acacia longifolia,Sydney golden wattle,Fabaceae,High,Medium,High,Low,None,Medium,6.0,8.3,16,40,14,180,None,Spring and Summer,Yes,Yes,Yes,,No,None,Summer,High,Low,No,No,Routinely Available,Yes,No,Low,No,Yellow,Yes,No,Green,Dense,Dense,Fine,High,Brown,Yes,Summer,Fall,Yes,,Multiple Stem,Rapid,High,20,20.0,No,Yes,Short,No,No,No,Medium,Yes,Low,,No,1200,700,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Low,No,Yes,24,33000,Slow,Medium,Semi-Erect,No,None,No
31206,ACMI2,Achillea millefolium,common yarrow,Asteraceae,Medium,Medium,Medium,Low,None,High,6.0,8.0,8,60,-38,120,Slight,Spring,No,No,Yes,Moderate,No,Low,Early Summer,Medium,Medium,No,No,Routinely Available,No,No,Medium,No,White,Yes,No,Green,Porous,Porous,Fine,Medium,Brown,No,Summer,Summer,Yes,,Rhizomatous,Moderate,None,,3.0,No,No,Moderate,No,No,No,None,Yes,Medium,Low,No,19000,4800,No,No,No,Yes,No,No,Yes,No,Yes,No,Low,No,No,8,2852012,Slow,Low,Erect,No,Slow,No
31239,ACMIO,Achillea millefolium var. occidentalis,western yarrow,Asteraceae,Medium,Medium,Medium,Low,None,High,6.0,8.0,8,26,-38,100,Slight,Spring,Yes,No,Yes,Moderate,No,None,Late Spring,Medium,Medium,No,No,Routinely Available,No,No,Low,No,White,Yes,No,Green,Porous,Porous,Fine,Medium,Brown,No,Summer,Fall,No,,Rhizomatous,Moderate,None,,3.0,No,No,Moderate,No,No,No,None,No,Low,Low,No,19000,4800,No,No,No,No,No,No,Yes,No,Yes,No,Low,No,No,8,3411818,Moderate,High,Erect,No,Rapid,No
92814,ACNE2,Acer negundo,boxelder,Aceraceae,High,Medium,Low,Medium,Medium,Low,5.0,7.8,15,75,-46,100,None,Spring and Summer,Yes,Yes,Yes,,No,None,Early Spring,High,High,No,Yes,Routinely Available,Yes,Yes,Medium,No,White,No,No,Green,Dense,Porous,Coarse,High,Brown,Yes,Summer,Fall,No,Low,Multiple Stem,Rapid,None,35,60.0,No,No,Short,No,No,No,None,Yes,Low,Low,Yes,1200,300,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Low,Yes,Yes,40,11360,Slow,Low,Erect,No,Slow,No
19961,ACNED,Achnatherum nelsonii ssp. dorei,Dore's needlegrass,Poaceae,High,Low,High,None,None,High,6.8,8.0,6,20,-28,135,None,Spring and Summer,No,No,Yes,Moderate,No,None,Early Summer,Medium,Medium,No,No,No Known Source,No,No,Low,No,Yellow,No,Yes,Green,Moderate,Porous,Fine,Medium,Brown,No,Summer,Summer,No,,Bunch,Moderate,None,,3.0,No,No,Short,No,No,No,None,No,Low,Medium,No,,,No,No,No,No,No,No,Yes,No,No,No,Medium,No,No,10,213000,Slow,Low,Erect,No,None,No
19979,ACOCO,Achnatherum occidentale ssp. occidentale,western needlegrass,Poaceae,High,Low,Medium,Low,None,High,5.7,7.5,8,14,-28,110,None,Spring and Summer,Yes,No,Yes,Slow,No,None,Late Spring,Medium,Low,No,No,No Known Source,No,No,Low,No,Yellow,No,Yes,Green,Moderate,Porous,Fine,Medium,Brown,No,Summer,Summer,No,,Bunch,Moderate,None,,2.0,No,No,Moderate,No,No,No,None,No,Medium,Medium,No,,,No,No,No,No,No,No,Yes,No,No,No,Low,No,No,16,285000,Moderate,,Erect,No,Moderate,No
31283,ACOPR,Acmella oppositifolia var. repens,oppositeleaf spotflower,Asteraceae,Low,Medium,High,None,Low,Low,5.0,7.5,30,50,-3,200,None,Summer,No,Yes,Yes,Slow,No,None,Late Summer,Medium,Medium,No,No,No Known Source,No,No,Low,Yes,Green,Yes,No,Green,Porous,Porous,Fine,Medium,Black,No,Summer,Fall,No,,Stoloniferous,Rapid,None,,0.7,No,No,Long,No,No,No,None,No,,High,No,19000,4800,No,No,No,No,No,No,No,No,Yes,No,,No,No,6,,Slow,Medium,Prostrate,No,Slow,No
92832,ACNI5,Acer nigrum,black maple,Aceraceae,Medium,Medium,Low,None,Low,Low,4.5,7.3,24,60,-47,130,None,Spring and Summer,Yes,Yes,Yes,,No,None,Late Spring,High,Medium,No,Yes,No Known Source,No,Yes,Medium,No,Yellow,No,No,Green,Dense,Porous,Medium,Medium,Brown,No,Summer,Fall,No,High,Single Stem,Moderate,None,28,100.0,No,No,Moderate,No,Yes,Yes,None,Yes,Medium,,Yes,700,300,No,Yes,No,Yes,No,No,Yes,No,No,No,,No,Yes,30,7030,Moderate,Medium,Erect,No,None,Yes
92842,ACPE,Acer pensylvanicum,striped maple,Aceraceae,Low,Low,Low,None,None,Medium,4.4,6.5,24,76,-47,90,None,Spring and Summer,Yes,No,Yes,,No,None,Late Spring,High,Low,No,Yes,No Known Source,No,Yes,Medium,Yes,Yellow,No,No,Green,Moderate,Porous,Medium,Medium,Brown,No,Summer,Fall,No,Low,Single Stem,Slow,None,25,35.0,Yes,No,Short,No,No,No,None,Yes,High,Medium,No,1100,700,No,Yes,No,Yes,No,No,Yes,No,No,No,,No,Yes,28,11360,Slow,Low,Erect,No,None,No
92845,ACPS,Acer pseudoplatanus,sycamore maple,Aceraceae,Medium,Medium,High,Medium,None,Medium,5.8,7.0,32,60,-23,140,None,Spring and Summer,No,Yes,Yes,,No,None,Late Spring,High,Low,No,Yes,No Known Source,No,No,Medium,No,Green,No,No,Yellow-Green,Dense,Porous,Coarse,High,Green,Yes,Spring,Summer,No,Medium,Single Stem,Moderate,Medium,60,70.0,No,No,Moderate,No,No,No,None,Yes,Low,Low,No,700,300,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Low,No,Yes,48,5920,Moderate,Medium,Erect,No,None,No
92846,ACRU,Acer rubrum,red maple,Aceraceae,Medium,High,Medium,None,Medium,Low,4.7,7.3,25,80,-47,80,Slight,Spring and Summer,Yes,Yes,Yes,,No,None,Early Spring,High,High,No,No,Routinely Available,Yes,Yes,Medium,No,Red,Yes,No,Green,Dense,Porous,Medium,High,Red,Yes,Spring,Spring,No,Medium,Single Stem,Rapid,Low,35,68.0,No,No,Short,No,Yes,No,None,Yes,Medium,Low,Yes,1200,170,No,Yes,No,Yes,No,No,Yes,No,No,No,Low,Yes,Yes,30,22720,Moderate,Medium,Rounded,No,None,Yes
92843,ACPL,Acer platanoides,Norway maple,Aceraceae,Low,Medium,Medium,Medium,None,Low,4.8,7.2,32,60,-33,130,None,Spring and Summer,No,No,Yes,,No,None,Mid Spring,High,Medium,No,Yes,Routinely Available,Yes,Yes,Medium,No,Green,No,No,Red,Dense,Porous,Medium,High,Brown,Yes,Summer,Fall,No,Medium,Single Stem,Slow,None,35,50.0,No,No,Moderate,No,Yes,No,None,Yes,Low,Low,No,700,300,No,Yes,No,Yes,No,Yes,Yes,No,No,No,,No,Yes,40,2640,Slow,Low,Rounded,No,None,Yes
92860,ACSA2,Acer saccharinum,silver maple,Aceraceae,Low,Medium,Medium,Low,High,Low,4.0,7.3,20,70,-47,120,None,Spring and Summer,Yes,Yes,Yes,,No,None,Early Spring,High,Medium,No,No,Routinely Available,Yes,Yes,Low,No,Yellow,Yes,No,Green,Dense,Porous,Medium,High,Brown,Yes,Summer,Fall,No,Medium,Single Stem,Rapid,None,45,90.0,No,No,Moderate,No,Yes,No,None,Yes,Low,Low,Yes,700,170,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Low,No,Yes,32,1610,Slow,Low,Rounded,No,None,Yes
92865,ACSA3,Acer saccharum,sugar maple,Aceraceae,Medium,Medium,Low,None,None,Low,3.7,7.9,22,80,-47,80,None,Spring and Summer,Yes,No,Yes,,No,None,Mid Spring,High,Medium,No,Yes,Routinely Available,No,Yes,Medium,No,Green,No,No,Green,Dense,Porous,Coarse,High,Brown,No,Summer,Fall,Yes,High,Single Stem,Slow,None,20,100.0,Yes,No,Long,No,Yes,Yes,None,No,Medium,,Yes,700,300,No,Yes,No,Yes,No,Yes,Yes,No,No,No,,Yes,Yes,40,6540,Moderate,High,Erect,No,None,Yes
75335,ACVI,Acalypha virginica,Virginia threeseed mercury,Euphorbiaceae,Medium,Medium,Medium,None,None,None,5.9,7.0,13,60,33,80,None,"Spring, Summer, Fall",No,No,Yes,Slow,No,None,Early Summer,High,Low,No,No,No Known Source,No,Yes,Medium,No,Red,Yes,No,Green,Moderate,Porous,Coarse,High,Red,No,Summer,Fall,No,,Single Crown,Rapid,None,,3.0,No,No,,No,No,No,None,Yes,Low,Low,No,4800,1100,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Low,No,No,6,678000,Slow,Medium,Erect,No,None,No
92875,ACSP2,Acer spicatum,mountain maple,Aceraceae,Low,Medium,Low,None,Low,High,4.8,7.0,30,70,-47,100,None,Spring and Summer,No,No,Yes,,No,None,Spring,High,Medium,No,Yes,No Known Source,Yes,Yes,Medium,No,Yellow,No,No,Green,Dense,Porous,Coarse,High,Brown,No,Summer,Fall,Yes,Low,Multiple Stem,Moderate,None,25,25.0,No,No,Moderate,No,No,No,None,Yes,Medium,Low,No,1100,700,No,Yes,No,Yes,No,No,Yes,No,No,No,Low,No,Yes,32,22720,Moderate,Medium,Erect,No,None,No
